Symbol,Company,Sector,BasicPreAIScore,TechnicalPreAIScore,TodayFocusScore,FocusStructureScore,FinalPreAIScore,PassedFocusGate,GateFailureReasons,Actionability,TriggerLevel,InvalidationLevel,DoNotChaseAbove,PreferredEntryStyle,TodayFocusWarnings,TodayFocusDisqualifiers,PctAboveEMA8,PctAboveEMA21,NearestSupportDistancePct,NearestResistanceDistancePct,NearestDemandDistancePct,NearestSupplyDistancePct,IgnitionAgeBars,PctFromIgnitionClose,HasNearbyTrigger,HasNearbyRetestArea,HasReasonableInvalidation,IsExtended,IsSeverelyExtended,StructureType,ImpulsePresent,ControlledDigestion,CompressionPresent,VolumeDryup,HoldingEMAStructure,TriggerNearby,InvalidationNearby,ExtensionRisk,StructureVerdict,StructureReasons,StructureWarnings,StructureDisqualifiers,PullbackDepthPct,RangeContractionPct,TriggerDistancePct,InvalidationDistancePct,VolumeDryupPct,StructurePctAboveEMA8,StructurePctAboveEMA21
EMR,Emerson Electric,Industrials,40.0,105.0,84.0,60.0,79.65,False,focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,148.49000549316406,139.36000061035156,,breakout,Bullish ignition candle is older than 10 trading days.,,1.1666708291175887,2.1390057918063476,1.8798832583912573,4.5483396250009855,0.9575446187709225,,19.0,-4.027303529049798,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,2.4924372142132833,6.895549750766872,2.4924372142132833,1.8798832583912573,-3.468534780804866,1.1666708291175887,2.1390057918063476
MSFT,Microsoft,Information Technology,50.0,90.0,85.0,60.0,76.25,False,focus_structure_score_below_65: 60; ready_today_structure_below_70: 60,ready_today,,412.6700134277344,,retest,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; No nearby breakout trigger was identified within 5% of current price.",,1.3998725780798527,4.003272704407368,6.80021072072824,,2.6783910152974433,,2.0,-1.9833850545200815,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,5.667220299559239,-54.33944282046359,5.667220299559239,3.8491795501332637,-12.447195381407706,1.3998725780798527,4.003272704407368
PLTR,Palantir Technologies,Information Technology,47.0,85.0,90.0,50.0,72.75,False,focus_structure_score_below_65: 50; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,152.67999267578125,142.29702668686332,,breakout,"Support exists but is farther away, making same-day risk wider.",,3.3853672779138977,6.93828375192147,11.493727872524484,0.3351478694701093,4.711834300599049,,2.0,-2.7916157561089006,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,False,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,7.577051270314006,-114.66204277060675,0.3351478694701093,6.488119603655784,4.430783413238815,3.3853672779138977,6.93828375192147
GE,GE Aerospace,Industrials,45.0,70.0,55.0,85.0,70.75,False,today_focus_score_below_70: 55,breakout_only,319.1400146484375,305.550195990711,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Active overhead supply is within 3% of current price.",,0.8687041710003118,3.982915209899618,11.151325865433925,0.4469386322166091,,1.0921569958992627,,,True,True,True,False,False,high_tight_flag,True,True,False,True,True,True,True,low,Structure is clean enough to support focus-list review.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.,,2.731962936683896,-6.744343391899488,0.4469386322166091,3.8303554020001407,24.383131099916067,0.8687041710003118,3.982915209899618
CCL,Carnival Corporation,Consumer Discretionary,47.0,70.0,64.0,70.0,67.9,False,today_focus_score_below_70: 64; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,28.049999237060547,26.829999923706055,,breakout,No bullish ignition candle was detected.; Demand exists but is not near enough for tight same-day risk.; Narrow-spread high-volume action needs visual review for absorption or distribution.,,1.5657434248840918,3.7270660627801933,2.9305335883825667,1.4833569336678787,10.600580209394316,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,2.7496390942992166,13.680485318299906,1.4833569336678787,2.9305335883825667,1.2336572299255666,1.5657434248840918,3.7270660627801933
UPS,United Parcel Service,Industrials,42.0,60.0,68.0,60.0,62.8,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,109.83999633789062,105.2699966430664,,breakout,No bullish ignition candle was detected.,,3.3517339022253845,5.772296503493135,3.3599592874833273,0.8353952356241701,,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,1.2944056079726707,-22.415068026268713,0.8353952356241701,3.3599592874833273,10.04207979458056,3.3517339022253845,5.772296503493135
SWKS,Skyworks Solutions,Information Technology,42.0,95.0,64.0,40.0,62.15,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 64; focus_structure_score_below_65: 40; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,needs_more_time,85.18000030517578,73.2760829912512,,no_trade,"Bullish ignition candle is older than 10 trading days.; Support exists but is farther away, making same-day risk wider.; Resistance trigger is too far away to be a clean same-day trigger.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,2.0741992447907087,7.975207621330638,22.219415091987138,7.659248417879438,11.615270629908137,,20.0,9.040801279921396,False,True,True,False,False,no_clear_structure,True,True,False,False,True,False,False,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.,No clear compression/base detected.; Volume dry-up was not detected.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,7.659248417879438,-26.280195319936173,7.659248417879438,7.386147058220727,-4.7279969119533805,2.0741992447907087,7.975207621330638
F,Ford Motor Company,Consumer Discretionary,43.0,110.0,74.0,20.0,61.4,False,focus_structure_score_below_65: 20; rejected_structure_type: no_clear_structure; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is no_clear_structure.,pullback_only,,12.720000267028809,16.149999618530273,pullback,"Bullish ignition candle is older than 10 trading days.; Current price is extended more than 10% above the ignition close.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is more than 8% above EMA21; same-day risk is widening.; No nearby breakout trigger was identified within 5% of current price.; No nearby invalidation level; same-day risk is too wide.",,2.1167969919750895,11.607382227428742,21.238386579067992,,14.551080391971372,,14.0,19.012527499835553,False,True,False,True,False,no_clear_structure,True,True,False,False,True,False,False,medium,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is acceptable.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; Extension risk is medium.; Invalidation is too far for clean same-day risk.,Structure type is no_clear_structure.,10.092886109080744,3.2072095350337393,10.092886109080744,10.400192169883283,-34.12857822143947,2.1167969919750895,11.607382227428742
DAL,Delta Air Lines,Industrials,42.0,65.0,47.0,70.0,60.7,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 47; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,needs_more_time,,75.62237743180015,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; No nearby breakout trigger was identified within 5% of current price.",,0.7796696730011599,5.815235331938928,15.321163485575129,,13.496620689122562,,,,False,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,4.761316355689216,-4.594855098361417,4.761316355689216,5.495650332106461,-12.483706548452345,0.7796696730011599,5.815235331938928
AMD,Advanced Micro Devices,Information Technology,43.0,90.0,68.0,35.0,60.3,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 35; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 35; structure_disqualifier: Structure type is extended_no_base.,pullback_only,527.2000122070312,393.3599853515625,521.5399780273438,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,4.865648106399867,16.08212959485329,24.577213267639653,1.085254135473157,50.49660552345132,,,,True,False,False,True,True,extended_no_base,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,1.085254135473157,12.844483210132008,1.085254135473157,13.854095932752697,30.60027036122189,4.865648106399867,16.08212959485329
QCOM,Qualcomm,Information Technology,43.0,90.0,68.0,35.0,60.3,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 35; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 35; structure_disqualifier: Structure type is extended_no_base.,pullback_only,247.89999389648438,191.02000427246094,240.83999633789062,pullback,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; Demand exists but is not near enough for tight same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,2.9758776160002887,12.46470505481463,20.68592958934191,2.931405773935003,25.058126458388376,,,,True,True,False,True,True,extended_no_base,True,True,False,True,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; Volume has dried up during consolidation.; A nearby trigger level exists.,No clear compression/base detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,7.922279264227816,-15.720231324142887,2.931405773935003,11.083214995086156,19.608057474012263,2.9758776160002887,12.46470505481463
UAL,United Airlines Holdings,Industrials,42.0,65.0,55.0,60.0,59.5,False,actionability_not_allowed: needs_more_time; today_focus_score_below_70: 55; focus_structure_score_below_65: 60,needs_more_time,,103.44999694824219,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; No nearby breakout trigger was identified within 5% of current price.",,0.571419875529311,6.203456148703856,14.353981612191602,,1.975741161467004,,,,False,True,True,False,False,breakout_retest,True,True,False,False,True,False,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,,8.399190787797028,-27.617542582869813,8.399190787797028,4.934757178498172,-4.417265317482411,0.571419875529311,6.203456148703856
VLO,Valero Energy,Energy,40.0,60.0,58.0,60.0,59.3,False,today_focus_score_below_70: 58; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,258.42999267578125,247.14083288429256,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,3.50370435359193,4.499125762248379,8.73925751985427,0.06581851766771507,,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.,Structure type is no_clear_structure.,2.1257608715175236,3.3007502769246466,0.06581851766771507,4.305419523302612,-0.9506785251562677,3.50370435359193,4.499125762248379
MMM,3M,Industrials,40.0,90.0,82.0,15.0,57.2,False,focus_structure_score_below_65: 15; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,156.69000244140625,143.58999633789062,,breakout,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.",,0.5310603729353769,1.9055019643670512,6.0889456705255025,2.478749964821958,3.616742315268351,,,,True,True,True,False,False,no_clear_structure,False,False,False,True,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Volume has dried up during consolidation.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear recent bullish impulse detected.; No controlled digestion after impulse was detected.; No clear compression/base detected.,Structure type is no_clear_structure.,,7.907428627393376,2.478749964821958,1.869871525713429,19.165271775170933,0.5310603729353769,1.9055019643670512
ORCL,Oracle Corporation,Information Technology,43.0,100.0,68.0,20.0,56.8,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,180.8699951171875,244.5800018310547,pullback,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is 8-15% above EMA8 and is extended for same-day entry.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,11.940874503303856,22.191411035977083,26.04873915974345,,7.47812920434755,,1.0,-1.4386428181492938,False,False,False,True,True,extended_no_base,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,2.318259108061471,-79.06512340156966,2.318259108061471,14.95216577415832,13.311203078024924,11.940874503303856,22.191411035977083
CSCO,Cisco,Information Technology,43.0,90.0,67.0,20.0,53.95,False,today_focus_score_below_70: 67; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,113.56999969482422,128.0,pullback,"Bullish ignition candle is older than 10 trading days.; Current price is extended more than 10% above the ignition close.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,6.241396871436855,14.487142439598145,11.273437738418579,,6.749999523162842,,14.0,25.65033527918963,False,False,False,True,True,extended_no_base,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is tight.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,0.1718759536743164,13.830014682695435,0.1718759536743164,10.960936546325684,-7.153687776050277,6.241396871436855,14.487142439598145
AAPL,Apple Inc.,Information Technology,50.0,55.0,43.0,60.0,52.8,False,actionability_not_allowed: avoid; today_focus_score_below_70: 43; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,avoid,,299.5601175959948,,no_trade,"No bullish ignition candle was detected.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; No nearby breakout trigger was identified within 5% of current price.",,1.9943102514595745,5.220953555683061,15.90418875043883,,,,,,False,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is tight.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,0.07931471774049736,-14.307591860974188,0.07931471774049736,4.961895306261521,1.2292342679330326,1.9943102514595745,5.220953555683061
NOW,ServiceNow,Information Technology,43.0,100.0,68.0,10.0,52.8,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 10; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 10; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,98.33999633789062,127.6500015258789,pullback,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is 8-15% above EMA8 and is extended for same-day entry.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,9.625720190509067,20.641671405085926,22.961225881416205,,13.701525777282287,,2.0,2.637290911684098,False,False,False,True,True,extended_no_base,True,True,False,False,True,False,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,9.048174919153219,-93.20892720102105,9.048174919153219,17.109901715283872,-35.409577456311055,9.625720190509067,20.641671405085926
LUV,Southwest Airlines,Industrials,45.0,40.0,42.0,70.0,52.7,False,actionability_not_allowed: avoid; today_focus_score_below_70: 42; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,avoid,42.38999938964844,41.02515420952236,,no_trade,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.",,0.5180209266719915,3.204975016913747,9.777986241682601,0.11808983675096751,,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,Structure is constructive but still needs confirmation.,Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,4.959845220956471,2.5983389681209723,0.11808983675096751,3.1054462407345107,6.568729269712992,0.5180209266719915,3.204975016913747
OXY,Occidental Petroleum,Energy,45.0,40.0,52.0,60.0,52.2,False,today_focus_score_below_70: 52; focus_structure_score_below_65: 60; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,59.150001525878906,56.25,,breakout,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.",,1.6153898904818664,1.9652043261902508,4.806228033938343,0.10154234749717439,,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume is only slightly quieter during the recent structure.,Structure type is no_clear_structure.,3.6385200885546976,-7.413682480714945,0.10154234749717439,1.9273283853808554,4.736563097735624,1.6153898904818664,1.9652043261902508
HPQ,HP Inc.,Information Technology,43.0,110.0,68.0,0.0,51.3,False,today_focus_score_below_70: 68; focus_structure_score_below_65: 0; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 0; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,20.440000534057617,27.290000915527344,pullback,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Price is 5-8% above EMA8; avoid chasing without a pullback.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,5.364693748295557,15.588659494132395,25.100770068396162,,7.328691582645019,,7.0,8.1220331339106,False,False,False,True,True,extended_no_base,True,True,False,False,True,False,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,8.647851314875354,-116.86522494909508,8.647851314875354,11.432761944167591,-100.02747393310783,5.364693748295557,15.588659494132395
AVGO,Broadcom,Information Technology,43.0,80.0,62.0,20.0,49.7,False,today_focus_score_below_70: 62; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,406.29998779296875,481.57000732421875,pullback,"Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Price is 8-15% above EMA8 and is extended for same-day entry.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,8.292269646074658,12.607570398065281,15.630130279391373,,10.77517574999275,,2.0,7.789247077086436,False,False,False,True,True,extended_no_base,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,1.5054924288752325,-30.734422674974017,1.5054924288752325,11.196023813938794,-20.740221732107056,8.292269646074658,12.607570398065281
ADI,Analog Devices,Information Technology,40.0,50.0,54.0,45.0,49.4,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 45; rejected_structure_type: no_clear_structure; structure_disqualifier: Structure type is no_clear_structure.,breakout_only,433.5,407.08494914885597,,breakout,"No bullish ignition candle was detected.; OBV is falling, weakening same-day confidence.; Support exists but is farther away, making same-day risk wider.",,2.443506929862571,3.958648702652634,9.629016735487461,2.433834474449381,5.309546449093839,,,,True,True,True,False,False,no_clear_structure,True,True,False,False,True,True,True,low,No clean Sean-style focus-list structure is present yet.,Recent bullish impulse is present.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; EMA structure is strong.; A nearby trigger level exists.; A nearby invalidation level exists.,No clear compression/base detected.; Volume dry-up was not detected.; Red-candle volume is expanding during the pullback.,Structure type is no_clear_structure.,2.958409416951313,-2.7314825898851147,2.433834474449381,3.8079070400148574,-66.85989002347654,2.443506929862571,3.958648702652634
SMCI,Supermicro,Information Technology,43.0,90.0,54.0,20.0,49.4,False,today_focus_score_below_70: 54; focus_structure_score_below_65: 20; rejected_structure_type: extended_no_base; pullback_only_structure_below_70: 20; structure_disqualifier: Structure type is extended_no_base.,pullback_only,,29.469999313354492,50.16999816894531,pullback,"Bullish ignition candle is older than 10 trading days.; Current price is extended more than 10% above the ignition close.; Support exists but is farther away, making same-day risk wider.; No clear overhead resistance/trigger level identified.; Demand exists but is not near enough for tight same-day risk.; Severe extension from EMA8 creates poor same-day risk.; Price is severely extended from EMA21, so pullback risk is elevated.; No nearby breakout trigger was identified within 5% of current price.; No nearby pullback or retest area was identified.; No nearby invalidation level; same-day risk is too wide.; Severely extended from EMA8/EMA21; not a ready_today setup.",,17.987070706019324,36.10330068566281,41.25971618712136,,43.61171626863134,,19.0,44.748985544762654,False,False,False,True,True,extended_no_base,True,True,False,False,True,True,False,high,"Strong move is present, but digestion/compression is insufficient; avoid chasing.",Recent bullish impulse is present.; Impulse quality is strong.; Controlled digestion after impulse is present.; Digestion quality is acceptable.; A nearby trigger level exists.,No clear compression/base detected.; Volume dry-up was not detected.; EMA structure is weak.; Extension risk is high.; Invalidation is too far for clean same-day risk.,Structure type is extended_no_base.,2.451671121835819,-102.11499112140095,2.451671121835819,26.526396129837536,-23.97397517578561,17.987070706019324,36.10330068566281
